# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0027/ ",0078
PB,CUITE,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","3,00 ","UN ","35,00 ","52,83 ","105,00","49,69%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","36,00 ","70,00","48,57%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","35,84 ","70,00","48,80%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","35,93 ","70,00","48,67%"
,"Total : ",,,,,,
,,"9,00 ",,"35,00","160,60 ","315,00","49,02%"
,"TOTAL CIDADE: ","9,00 ",,,"160,60 ","315,00","49,02%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0028/ ",0078
PB,DUAS ESTRADAS,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","51,00 ","UN ","5,00 ","140,53 ","255,00","44,89%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","19,00 ","UN ","5,00 ","52,24 ","95,00","45,01%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","15,00 ","UN ","5,00 ","40,63 ","75,00","45,81%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","15,00 ","UN ","5,00 ","40,69 ","75,00","45,75%"
,"Total : ",,,,,,
,,"100,00 ",,"5,00","274,09 ","500,00","45,18%"
,"TOTAL CIDADE: ","100,00 ",,,"274,09 ","500,00","45,18%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0029/ ",0078
PB,ESPERANCA,,,,,,
"12.215 ",TONER | ASTON,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10990-0 ","TONER ASTON P/USO EM BROTHER AT30 (TN430/540/580/650/720/750/780) BAG 1KG-. ","2,00 ","KG ","98,00 ","113,65 ","196,00","42,02%"
"10996-0 ","TONER ASTON P/USO EM PM AT220SG (435/436/285/2016/283/278/7553) 1KG BAG(CX C/20)-. ","5,00 ","KG ","75,00 ","217,62 ","375,00","41,97%"
"10992-0 ","TONER ASTON P/USO EM SAMSUNG AT2001SG (1710/2850/D101/D105) 1KG BAG(CX C/20)-. ","2,00 ","KG ","95,00 ","100,05 ","190,00","47,34%"
,"Total : ",,,,,,
,,"9,00 ",,"84,56","431,33 ","761,00","43,32%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","8,00 ","UN ","35,00 ","140,87 ","280,00","49,69%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","3,00 ","UN ","35,00 ","54,00 ","105,00","48,57%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","35,84 ","70,00","48,80%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","3,00 ","UN ","35,00 ","53,90 ","105,00","48,67%"
,"Total : ",,,,,,
,,"16,00 ",,"35,00","284,60 ","560,00","49,18%"
,"TOTAL CIDADE: ","25,00 ",,,"715,93 ","1.321,00","45,80%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0030/ ",0078
PB,GUARABIRA,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","20,00 ","PC ","22,00 ","201,21 ","440,00","54,27%"
,"Total : ",,,,,,
,,"20,00 ",,"22,00","201,21 ","440,00","54,27%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4064-0 ","KIT FOTOCONDUTOR COMP. COM BROTHER DR-B021 EVOLUT-. ","1,00 ","PC ","75,00 ","39,77 ","75,00","46,97%"
"3458-0 ",KIT FOTOCONDUTOR COMP. COM BROTHER DR1060/1000/1010/1020/1030 10K EVOLUT (CX C/20)-.,"4,00 ","PC ","35,00 ","64,10 ","140,00","54,21%"
,"Total : ",,,,,,
,,"5,00 ",,"43,00","103,88 ","215,00","51,69%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","5,00 ","UN ","6,00 ","13,87 ","30,00","53,77%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","6,00 ","UN ","35,00 ","105,65 ","210,00","49,69%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","36,00 ","70,00","48,57%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","35,84 ","70,00","48,80%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","2,00 ","UN ","35,00 ","35,93 ","70,00","48,67%"
,"Total : ",,,,,,
,,"17,00 ",,"26,47","227,29 ","450,00","49,49%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"160,00 ","M2 ","8,70 ","828,00 ","1.392,00","40,52%"
,"Total : ",,,,,,
,,"160,00 ",,"8,70","828,00 ","1.392,00","40,52%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"53,00 ","M2 ","6,13 ","192,85 ","325,00","40,66%"
,"Total : ",,,,,,
,,"53,00 ",,"6,13","192,85 ","325,00","40,66%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"1,00 ","UN ","590,00 ","363,53 ","590,00","38,38%"
"2013209-0ACM UNIBOND DEEP GREY 3mm 1.50 x 5.00mt 8872-. ",,"1,00 ","UN ","595,00 ","370,93 ","595,00","37,66%"
"2013206-0ACM UNIBOND GRAFITE ESCURO 3mm 1.50 x 5.00mt 8865-. ",,"3,00 ","UN ","600,00 ","1.101,83 ","1.800,00","38,79%"
,"Total : ",,,,,,
,,"5,00 ",,"597,00","1.836,29 ","2.985,00","38,48%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013140-0ACM SIGNBOND AZUL CLARO 3mm 1.22 x 5.00mt T8850-. ",,"1,00 ","UN ","440,00 ","263,11 ","440,00","40,20%"
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","410,00 ","264,84 ","410,00","35,40%"
"2013128-0ACM SIGNBOND PRETO FOSCO 3mm 1.22 x 5.00mt UNI8866-. ",,"1,00 ","UN ","420,00 ","264,61 ","420,00","37,00%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"1,00 ","UN ","430,00 ","263,05 ","430,00","38,83%"
,"Total : ",,,,,,
,,"4,00 ",,"425,00","1.055,61 ","1.700,00","37,91%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0031/ ",0078
PB,GUARABIRA,,,,,,
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"3,00 ","UN ","176,00 ","316,57 ","528,00","40,04%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"1,00 ","UN ","360,00 ","215,87 ","360,00","40,04%"
,"Total : ",,,,,,
,,"4,00 ",,"222,00","532,44 ","888,00","40,04%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","199,00 ","117,67 ","199,00","40,87%"
"20260032-0ACRILICO UNIGLASS PRETO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","220,00 ","261,11 ","440,00","40,66%"
,"Total : ",,,,,,
,,"3,00 ",,"213,00","378,77 ","639,00","40,72%"
,2028.2023 CHAPA POLICARBONATO | CHAPAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017552-0CHAPA POLICARBONATO MDP 1050x6000x4MM AZUL-. ",,"2,00 ","UN ","250,00 ","281,31 ","500,00","43,74%"
"2017551-0CHAPA POLICARBONATO MDP 2100x6000x4MM AZUL-. ",,"1,00 ","UN ","470,00 ","281,30 ","470,00","40,15%"
,"Total : ",,,,,,
,,"3,00 ",,"323,33","562,60 ","970,00","42,00%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015044-0FITA FUSION DUPLA FACE TRANSPARENTE 12 X 20 MM-. ",,"7,00 ","UN ","22,50 ","86,24 ","157,50","45,24%"
"2015047-0FITA FUSION DUPLA FACE TRANSPARENTE 19 X 20 MM-. ",,"3,00 ","UN ","35,00 ","54,13 ","105,00","48,45%"
,"Total : ",,,,,,
,,"10,00 ",,"26,25","140,37 ","262,50","46,53%"
,"TOTAL CIDADE: ","284,00 ",,,"6.059,32 ","10.266,50","40,98%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0032/ ",0078
PB,GURINHEM,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","40,00 ","UN ","5,50 ","137,90 ","220,00","37,32%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","20,00 ","UN ","5,50 ","68,06 ","110,00","38,13%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","20,00 ","UN ","5,50 ","67,98 ","110,00","38,20%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","20,00 ","UN ","5,50 ","67,83 ","110,00","38,34%"
,"Total : ",,,,,,
,,"100,00 ",,"5,50","341,77 ","550,00","37,86%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260058-0ACRILICO UNIGLASS AZUL 2mm c/ 1,00mt X 2,00mt-. ",,"1,00 ","UN ","210,00 ","123,16 ","210,00","41,35%"
,"Total : ",,,,,,
,,"1,00 ",,"210,00","123,16 ","210,00","41,35%"
,"TOTAL CIDADE: ","101,00 ",,,"464,92 ","760,00","38,83%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0033/ ",0078
PB,ITAPORANGA,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","2,00 ","PC ","25,00 ","20,12 ","50,00","59,76%"
,"Total : ",,,,,,
,,"2,00 ",,"25,00","20,12 ","50,00","59,76%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3212-0 ","KIT FOTOCONDUTOR COMP. COM BROTHER DR820/880/DR3440 EVOLUT 30k (CX C/ 08)-. ","1,00 ","PC ","65,00 ","26,58 ","65,00","59,11%"
,"Total : ",,,,,,
,,"1,00 ",,"65,00","26,58 ","65,00","59,11%"
"12.215 ",TONER | ASTON,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10996-0 ","TONER ASTON P/USO EM PM AT220SG (435/436/285/2016/283/278/7553) 1KG BAG(CX C/20)-. ","2,00 ","KG ","75,00 ","87,05 ","150,00","41,97%"
,"Total : ",,,,,,
,,"2,00 ",,"75,00","87,05 ","150,00","41,97%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"320,00 ","M2 ","8,63 ","1.656,00 ","2.762,00","40,04%"
,"Total : ",,,,,,
,,"320,00 ",,"8,63","1.656,00 ","2.762,00","40,04%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"106,00 ","M2 ","5,75 ","365,76 ","610,00","40,04%"
"2011104-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,52mt-. ",,"76,00 ","M2 ","5,76 ","262,52 ","438,00","40,06%"
,"Total : ",,,,,,
,,"182,00 ",,"5,76","628,28 ","1.048,00","40,05%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013201-0ACM UNIBOND VERDE INTENSO 3mm 1.50 x 5.00mt 8840-. ",,"2,00 ","UN ","600,00 ","730,71 ","1.200,00","39,11%"
,"Total : ",,,,,,
,,"2,00 ",,"600,00","730,71 ","1.200,00","39,11%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"14,00 ","UN ","442,86 ","3.516,55 ","6.200,00","43,28%"
"2013126-0ACM SIGNBOND PRATA METALIZADO 3mm 1.22 x 5.00mt 8801-. ",,"1,00 ","UN ","410,00 ","262,98 ","410,00","35,86%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"3,00 ","UN ","420,00 ","789,13 ","1.260,00","37,37%"
"2013218-0ACM SIGNBOND VERDE MILITAR 3mm 1.22 x 5.00mt T8848-. ",,"2,00 ","UN ","440,00 ","526,80 ","880,00","40,14%"
,"Total : ",,,,,,
,,"20,00 ",,"437,50","5.095,47 ","8.750,00","41,77%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"2,00 ","UN ","169,45 ","211,05 ","338,90","37,72%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"8,00 ","UN ","360,00 ","1.726,92 ","2.880,00","40,04%"
,"Total : ",,,,,,
,,"10,00 ",,"321,89","1.937,97 ","3.218,90","39,79%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0034/ ",0078
PB,ITAPORANGA,,,,,,
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260059-0ACRILICO BOLD ESPELHADO DOURADO 2MM 1,00 X 2,00MT-. ",,"4,00 ","UN ","325,85 ","782,27 ","1.303,40","39,98%"
,"Total : ",,,,,,
,,"4,00 ",,"325,85","782,27 ","1.303,40","39,98%"
,2028.2023 CHAPA POLICARBONATO | CHAPAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017547-0CHAPA POLICARBONATO MDP 2100x6000x4MM BRANCA-. ",,"4,00 ","UN ","432,90 ","1.125,19 ","1.731,60","35,02%"
"2017557-0CHAPA POLICARBONATO MDP 2100x6000x6MM BRANCA-. ",,"2,00 ","UN ","632,50 ","822,06 ","1.265,00","35,02%"
,"Total : ",,,,,,
,,"6,00 ",,"499,43","1.947,25 ","2.996,60","35,02%"
,"TOTAL CIDADE: ","549,00 ",,,"12.911,70 ","21.543,90","40,07%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0035/ ",0078
PB,ITAPOROROCA,,,,,,
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"1,00 ","UN ","410,00 ","254,56 ","410,00","37,91%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"1,00 ","UN ","420,00 ","265,02 ","420,00","36,90%"
"2013184-0ACM SIGNBOND FINLAND GREEN 3mm 1.22 x 5.00mt-. ",,"1,00 ","UN ","440,00 ","265,97 ","440,00","39,55%"
"2013155-0ACM SIGNBOND GRAFITE ESCURO 3mm 1.22 x 5.00mt 8865-. ",,"1,00 ","UN ","400,00 ","265,12 ","400,00","33,72%"
"2013220-0ACM SIGNBOND NAVY BLUE 3mm 1.22 x 5.00mt T8852-. ",,"1,00 ","UN ","420,00 ","249,27 ","420,00","40,65%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"1,00 ","UN ","420,00 ","265,28 ","420,00","36,84%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"2,00 ","UN ","400,00 ","526,10 ","800,00","34,24%"
,"Total : ",,,,,,
,,"8,00 ",,"413,75","2.091,32 ","3.310,00","36,82%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019100-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 02MM-. ",,"2,00 ","UN ","50,00 ","55,86 ","100,00","44,14%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"14,00 ","UN ","172,29 ","1.477,35 ","2.412,00","38,75%"
,"Total : ",,,,,,
,,"16,00 ",,"157,00","1.533,21 ","2.512,00","38,96%"
,"TOTAL CIDADE: ","24,00 ",,,"3.624,52 ","5.822,00","37,74%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0036/ ",0078
PB,JOAO PESSOA,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4136-0 ","CART. DE TONER COMP. COM PM 103A W1103A EVOLUT 2.5k-. ","3,00 ","PC ","35,00 ","29,93 ","105,00","71,50%"
"4113-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP CHMT-. ","1,00 ","PC ","55,00 ","24,30 ","55,00","55,82%"
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","59,00 ","PC ","45,42 ","1.289,97 ","2.680,00","51,87%"
"3954-0 ","CART. DE TONER COMP. COM PM 2612 2K CHMT(CX C/ 25)-. ","8,00 ","PC ","33,13 ","141,22 ","265,00","46,71%"
"3000-0 ","CART. DE TONER COMP. COM PM 2612 2K EVOLUT(CX C/ 20)-. ","4,00 ","PC ","35,00 ","66,58 ","140,00","52,44%"
"3953-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-. ","161,00 ","PC ","25,90 ","2.971,75 ","4.169,75","28,73%"
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","188,00 ","PC ","27,32 ","3.129,13 ","5.135,98","39,07%"
"3136-0 ","CART. DE TONER COMP. COM PM CB540/CE320/CF210 BK 2,2K EVOLUT(CX C/ 15)-. ","5,00 ","PC ","69,22 ","145,63 ","346,10","57,92%"
"3137-0 ","CART. DE TONER COMP. COM PM CB541/CE321/CF211 CYAN 1,8K EVOLUT(CX C/ 15)-. ","10,00 ","PC ","50,30 ","280,22 ","503,00","44,29%"
"3138-0 ","CART. DE TONER COMP. COM PM CB542/CE322/CF212 YELL 1,4K EVOLUT(CX C/ 15)-. ","2,00 ","PC ","62,50 ","57,31 ","125,00","54,15%"
"3139-0 ","CART. DE TONER COMP. COM PM CB543/CE323/CF213 MAG 1,4K EVOLUT(CX C/ 15)-. ","2,00 ","PC ","65,00 ","57,59 ","130,00","55,70%"
"3110-0 ","CART. DE TONER COMP. COM PM CE250A/CE400A BK 5,5K EVOLUT (CX C/ 10)-. ","2,00 ","PC ","99,90 ","146,98 ","199,80","26,44%"
"3032-0 ","CART. DE TONER COMP. COM PM CE278A 2,1K EVOLUT(CX C/ 12)-. ","4,00 ","PC ","43,75 ","66,77 ","175,00","61,85%"
"3033-0 ","CART. DE TONER COMP. COM PM CE285A 1,6K EVOLUT(CX C/ 20)-. ","89,00 ","PC ","27,61 ","1.463,29 ","2.457,50","40,46%"
"3038-0 ","CART. DE TONER COMP. COM PM CE310/CF350A (1025) BK 1,2K CHMT(CX C/30)-S/CAIXA ","2,00 ","PC ","50,00 ","34,03 ","100,00","65,97%"
"3119-0 ","CART. DE TONER COMP. COM PM CE310/CF350A (1025) BK 1,2K EVOLUT(CX C/ 20)-S/CAIXA ","1,00 ","PC ","50,00 ","17,30 ","50,00","65,40%"
"3120-0 ","CART. DE TONER COMP. COM PM CE311/CF351A (1025) CYAN 1,2K EVOLUT(CX C/ 20)-S/CAIXA ","1,00 ","PC ","50,00 ","17,81 ","50,00","64,38%"
"3121-0 ","CART. DE TONER COMP. COM PM CE312/CF352A (1025) YELL 1,2K EVOLUT(CX C/ 20)-S/CAIXA ","1,00 ","PC ","50,00 ","17,47 ","50,00","65,06%"
"3042-0 ","CART. DE TONER COMP. COM PM CE505A/CF280A 2,7K CHMT(CX C/15)-. ","19,00 ","PC ","44,30 ","457,25 ","841,62","45,67%"
"3130-0 ","CART. DE TONER COMP. COM PM CE505A/CF280A 6K EVOLUT(CX C/ 10)-. ","1,00 ","PC ","65,00 ","25,99 ","65,00","60,02%"
"3076-0 ","CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-. ","2,00 ","PC ","25,31 ","32,62 ","50,61","35,55%"
"3942-0 ","CART. DE TONER COMP. COM PM CF226A M402N/M426DW 3,1K EVOLUT-. ","6,00 ","PC ","58,33 ","171,37 ","350,00","51,04%"
"3078-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K CHMT(CX C/25)-. ","71,00 ","PC ","28,53 ","1.279,32 ","2.025,80","36,85%"
"3149-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K EVOLUT(CX C/ 12)-. ","58,00 ","PC ","29,90 ","965,39 ","1.734,15","44,33%"
"3990-0 ","CART. DE TONER COMP. COM PM CF511A/CF531A CY 1,1K EVOLUT (CX C/ 15)-. ","3,00 ","PC ","75,00 ","95,80 ","225,00","57,42%"
"3992-0 ","CART. DE TONER COMP. COM PM CF513A/CF533A MA 1,1K EVOLUT (CX C/ 15)-. ","1,00 ","PC ","75,00 ","31,68 ","75,00","57,76%"
"4148-0 ","CART. DE TONER COMP. COM PM W1330X S/ CHIP CHMT 15K M432FDN/M408DN-. ","1,00 ","PC ","72,00 ","37,41 ","72,00","48,04%"
,"Total : ",,,,,,
,,"705,00 ",,"31,46","13.054,12 ","22.176,31","41,13%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4063-0 ","CART. DE TONER COMP. COM BROTHER TN-B021 CHMT 2.6K-. ","14,00 ","PC ","19,64 ","140,56 ","275,00","48,89%"
"3925-0 ",CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K CHMT (CX C/ 30)-S/CAIXA,"2,00 ","PC ","20,00 ","23,04 ","40,00","42,40%"
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","129,00 ","PC ","21,05 ","1.297,83 ","2.715,23","52,20%"
"3908-0 ","CART. DE TONER COMP. COM BROTHER TN410/420/450 2,6K EVOLUT(CX C/ 15)-. ","2,00 ","PC ","40,00 ","30,52 ","80,00","61,85%"
"3906-0 ","CART. DE TONER COMP. COM BROTHER TN580/650 8K CHMT(CX C/ 10)-. ","1,00 ","PC ","50,00 ","26,31 ","50,00","47,38%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","128,00 ","PC ","23,58 ","1.865,15 ","3.018,04","38,20%"
